Wall time,Step,Value
1587664245.899258,0,0.5226924419403076
1587664249.958379,1,0.12149938195943832
1587664254.182674,2,0.07074051350355148
1587664258.208093,3,0.052365973591804504
1587664262.264807,4,0.0494869239628315
1587664266.323928,5,0.043291203677654266
1587664270.35623,6,0.02933562733232975
1587664274.457108,7,0.03229878470301628
1587664278.565234,8,0.030704086646437645
1587664282.647427,9,0.03048180416226387
1587664286.944251,10,0.026083555072546005
1587664291.351473,11,0.016526969149708748
1587664295.743193,12,0.02058267407119274
1587664299.988425,13,0.012289732694625854
1587664304.247635,14,0.010366910137236118
1587664308.467346,15,0.013139109127223492
1587664312.556573,16,0.014571799896657467
1587664316.6187,17,0.014317291788756847
1587664320.854196,18,0.015392436645925045
1587664325.053118,19,0.01479231659322977
